year,road_t,road_n,car,puj,uv,taxi,pub,truck,trailer,mc,tricycle,total,year_cat,year_int,car_log,puj_sqrt,uv_log1p,taxi_sqrt,pub_log,trailer_log1p,mc_sqrt,tricycle_sqrt,total_log
2020-01-01,C4,EDSA,193788,2250,14230,19316,36450,2136,68,107509,4,328114,2020,2020,12.174520057017068,47.43416490252569,9.563107691083898,138.98201322473352,10.503696737436805,4.23410650459726,327.88565079917726,2.0,12.701116387956565
2020-01-01,C5,C5,100846,3160,4360,6941,3470,10996,725,71797,14,192418,2020,2020,11.521349879730124,56.213877290220786,8.38022733634308,83.31266410336426,8.151909872940905,6.587550014824796,267.94962213072813,3.7416573867739413,12.167425367931294
2020-01-01,R1,ROXAS BOULEVARD,105863,1050,10530,8769,8510,1158,2501,70184,142,190626,2020,2020,11.569901084326506,32.4037034920393,9.261983605128021,93.64293886887575,9.04899722156742,7.824845691026856,264.92263021493653,11.916375287812984,12.158068672231693
2020-01-01,R2,TAFT AVENUE,38695,130430,126250,5888,38810,653,1,34297,1833,110916,2020,2020,10.56346567170456,361.1509379746922,11.746019347137606,76.7333043730035,10.566433224362951,0.6931471805599453,185.1944923587092,42.81354925721529,11.616528437052779
2020-01-01,R3,SSH,69900,0,450,5842,1750,9653,2878,54174,88,142755,2020,2020,11.154820928221902,0.0,6.1092475827643655,76.43297717608546,7.4673710669175595,7.965198290612176,232.7530880568505,9.38083151964686,11.868885153174553
2020-01-01,R4,SHAW BOULEVARD,46235,7370,510,6217,7320,1790,41,47331,475,103609,2020,2020,10.74149236601174,85.84870412533901,6.234410725718371,78.84795495128583,8.898365606955357,3.7376696182833684,217.55688911179072,21.79449471770337,11.548379477621188
2020-01-01,R5,ORTIGAS AVENUE,80679,24250,26110,4149,37960,4730,614,73070,416,172490,2020,2020,11.29823359734582,155.72411502397438,10.170073661693175,64.41273166075166,10.544288252723865,6.421622267806518,270.31463149448643,20.396078054371138,12.058094542758674
2020-01-01,R6,MAGSAYSAY BOULEVARD,48380,100,110,6868,8250,2755,349,50399,1943,111540,2020,2020,10.786841784164018,10.0,4.700480365792417,82.87339742040264,9.017968479328726,5.857933154483459,224.49721601837294,44.07947368106838,11.622138549943545
2020-01-01,R6,AURORA BOULEVARD,40912,120270,67260,5712,5080,2001,14,45195,101,113196,2020,2020,10.619178697530968,346.79965397906614,11.11632098529426,75.57777451076474,8.533066540572527,2.70805020110221,212.59115691862633,10.04987562112089,11.636876108437853
2020-01-01,R7,QUEZON AVENUE,126286,66760,120490,14828,14280,4311,203,71923,55,237759,2020,2020,11.746304455005347,258.37956575549856,11.699322040917322,121.77027551911016,9.566615235893575,5.318119993844216,268.184637889645,7.416198487095663,12.379012834580749
